iter	Passed	Remaining
0	2	265
1	5	261
2	8	259
3	10	249
4	13	261
5	16	255
6	19	254
7	22	254
8	25	256
9	27	249
10	31	253
11	34	249
12	36	245
13	38	238
14	41	236
15	44	232
16	47	231
17	50	231
18	54	231
19	57	231
20	60	227
21	63	224
22	65	219
23	67	214
24	69	209
25	72	205
26	74	200
27	76	197
28	79	193
29	81	190
30	84	187
31	87	185
32	90	182
33	93	181
34	96	178
35	99	176
36	101	173
37	104	170
38	107	167
39	110	165
40	113	163
41	115	158
42	118	156
43	120	153
44	123	150
45	125	146
46	127	144
47	129	140
48	131	137
49	133	133
50	135	130
51	137	126
52	138	123
53	140	119
54	141	115
55	143	112
56	145	109
57	147	106
58	148	103
59	149	99
60	151	97
61	154	94
62	156	91
63	158	88
64	159	86
65	161	83
66	163	80
67	165	78
68	167	75
69	168	72
70	171	69
71	173	67
72	174	64
73	176	62
74	177	59
75	178	56
76	179	53
77	181	51
78	183	48
79	184	46
80	185	43
81	187	41
82	188	38
83	189	36
84	190	33
85	191	31
86	192	28
87	193	26
88	194	23
89	195	21
90	196	19
91	198	17
92	199	15
93	200	12
94	201	10
95	202	8
96	203	6
97	204	4
98	205	2
99	206	0
